id,question,useRAG,dataset,char_count,digit_char_count,has_quote,starts_with_why,starts_with_how,starts_with_what,starts_with_who,starts_with_when,starts_with_where,starts_with_which,is_definition,is_yesno,is_comparison,word_count,number_token_count,verb_count,propn_count,noun_chunk_count,entity_count,person_count,org_gpe_loc_count,date_time_count,cardinal_count,has_person_entity,has_date_entity,has_number_entity
tc_2,Who was the man behind The Chipmunks?,0,trivia,37,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,trivia,69,6,0,0,0,0,0,0,0,1,0,0,0,13,2,1,4,4,3,0,1,1,0,0,1,0
tc_40,Who was the next British Prime Minister after Arthur Balfour?,1,trivia,61,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,4,3,2,1,1,0,0,1,0,0
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,1,trivia,46,3,0,0,0,0,1,0,0,0,0,0,0,13,1,2,1,3,2,0,0,1,0,0,1,0
tc_56,What claimed the life of singer Kathleen Ferrier?,1,trivia,49,0,0,0,0,1,0,0,0,0,0,0,0,9,0,1,2,3,1,1,0,0,0,1,0,0
tc_69,Rita Coolidge sang the title song for which Bond film?,1,trivia,54,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,3,2,1,1,0,0,1,0,0
tc_79,What was the last US state to reintroduce alcohol after prohibition?,1,trivia,68,0,0,0,0,1,0,0,0,0,1,0,0,12,0,1,1,4,1,0,1,0,0,0,0,0
tc_106,Which actress was voted Miss Greenwich Village in 1942?,1,trivia,55,4,0,0,0,0,0,0,0,1,0,0,0,10,1,1,3,2,2,0,1,1,0,0,1,0
tc_133,What is the Japanese share index called?,0,trivia,40,0,0,0,0,1,0,0,0,0,1,0,0,8,0,1,0,2,1,0,1,0,0,0,0,0
tc_137,What was the name of Michael Jackson's autobiography written in 1988?,0,trivia,69,4,1,0,0,1,0,0,0,0,1,0,0,13,1,1,2,3,2,1,0,1,0,1,1,0
tc_149,In which decade did stereo records first go on sale?,1,trivia,52,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,3,2,0,0,1,1,0,1,1
tc_165,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1,trivia,105,0,1,0,0,0,0,0,0,0,0,0,0,21,1,1,1,4,3,0,0,1,1,0,1,1
tc_217,Which volcano in Tanzania is the highest mountain in Africa?,1,trivia,60,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,2,4,2,0,2,0,0,0,0,0
tc_219,The flag of Libya is a plain rectangle of which color?,0,trivia,54,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,4,1,0,1,0,0,0,0,0
tc_241,Of which African country is Niamey the capital?,0,trivia,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,4,2,0,2,0,0,0,0,0
tc_245,Who was the director of the CIA from 1976-81?,1,trivia,45,6,0,0,0,0,1,0,0,0,0,0,0,12,2,0,1,3,2,0,1,1,0,0,1,0
tc_261,Which musical featured the song The Street Where You Live?,1,trivia,58,0,0,0,0,0,0,0,0,1,0,0,0,11,0,2,1,4,1,0,0,0,0,0,0,0
tc_267,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",1,trivia,57,4,1,0,0,0,1,0,0,0,0,0,0,18,1,0,2,3,2,0,0,1,0,0,1,0
tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,1,trivia,51,3,0,0,0,0,1,0,0,0,0,0,0,14,1,2,2,3,1,0,0,1,0,0,1,0
tc_280,Who directed the classic 30s western Stagecoach?,1,trivia,48,2,0,0,0,0,1,0,0,0,0,0,0,8,0,1,1,3,1,0,0,0,1,0,0,1
tc_282,Dave Gilmore and Roger Waters were in which rock group?,0,trivia,55,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,3,2,2,0,0,0,1,0,0
tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,1,trivia,64,2,0,0,0,0,0,0,0,1,0,0,0,13,0,1,2,3,2,1,0,1,0,1,1,0
tc_298,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,1,trivia,79,4,0,0,0,0,0,0,0,1,0,0,0,15,1,1,3,3,3,0,1,1,0,0,1,0
tc_304,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,trivia,100,2,1,0,0,0,0,0,0,1,0,0,1,21,0,2,5,5,3,2,0,0,1,1,0,1
tc_316,If I Were A Rich Man Was a big hit from which stage show?,1,trivia,57,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,4,0,0,0,0,0,0,0,0
tc_349,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,1,trivia,80,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,3,4,1,0,0,0,1,0,0,1
tc_379,What was Truman Capote's last name before he was adopted by his stepfather?,1,trivia,75,0,1,0,0,1,0,0,0,0,1,0,0,15,0,1,2,4,1,1,0,0,0,1,0,0
tc_397,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",0,trivia,116,0,1,0,0,0,0,0,0,0,0,0,0,24,0,2,3,6,2,1,0,0,0,1,0,0
tc_453,"In the Bible, who did the sun and moon stand still before?",0,trivia,58,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,4,2,1,0,0,0,1,0,0
tc_455,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,trivia,81,0,1,0,0,1,0,0,0,0,0,0,0,15,0,1,5,5,4,3,1,0,0,1,0,0
tc_510,What was President Gerald Ford's middle name?,1,trivia,45,0,1,0,0,1,0,0,0,0,1,0,0,9,0,0,3,2,1,1,0,0,0,1,0,0
tc_515,Art Garfunkel trained for which profession although he didn't qualify?,1,trivia,70,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,2,3,1,1,0,0,0,1,0,0
tc_517,Who was the last inmate of Spandau jail in Berlin?,1,trivia,50,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,2,4,2,1,1,0,0,1,0,0
tc_518,What was Eddie Murphy's first movie?,1,trivia,36,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,2,2,2,1,0,0,1,1,0,1
tc_538,In the 80s who wrote the novel Empire of The Sun?,1,trivia,49,2,0,0,0,0,0,0,0,0,0,0,0,12,0,1,2,4,2,0,1,1,0,0,1,0
tc_540,Kagoshima international airport is in which country?,0,trivia,52,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,1,0,1,0,0,0,0,0
tc_543,In which sport could the Pacers take on the Pistons?,0,trivia,52,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,3,1,0,0,0,0,0,0,0
tc_559,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,trivia,96,1,1,0,0,0,0,0,0,0,0,0,0,21,3,1,5,3,4,1,1,2,0,1,1,0
tc_561,Where in Canada is the Lion's Gate bridge?,1,trivia,42,0,1,0,0,0,0,0,1,0,0,0,0,10,0,0,3,2,2,0,2,0,0,0,0,0
tc_564,What was Walter Matthau's first movie?,1,trivia,38,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,2,2,2,1,0,0,1,1,0,1
tc_585,Otis Barton was a pioneer in exploring where?,1,trivia,45,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,2,1,1,0,0,0,1,0,0
tc_586,Where in England was actor Nigel Hawthorne born?,1,trivia,48,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,3,2,2,1,1,0,0,1,0,0
tc_596,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",0,trivia,101,0,0,0,0,1,0,0,0,0,0,0,0,25,0,1,0,8,0,0,0,0,0,0,0,0
tc_604,"In Greek mythology, who were Arges, Brontes and Steropes?",0,trivia,57,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,5,1,0,1,0,0,0,0,0
tc_626,Which musician founded the Red Hot Peppers?,1,trivia,43,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,3,2,1,0,1,0,0,0,0,0
tc_635,Where did the Shinning Path terrorists operate?,1,trivia,47,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,2,1,0,0,0,0,0,0,0,0
tc_653,How old was Jimi Hendrix when he died?,1,trivia,38,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,2,2,1,1,0,0,0,1,0,0
tc_657,Which Brit broke the land speed record in 1990 in Thrust 2?,1,trivia,59,5,0,0,0,0,0,0,0,1,0,0,0,13,2,1,2,4,2,0,1,1,0,0,1,0
tc_664,In which state was Gene Vincent born?,1,trivia,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,2,1,1,0,0,0,1,0,0
tc_665,How was the European Recovery Program in the 1940s more commonly known?,1,trivia,71,4,0,0,1,0,0,0,0,0,0,0,0,13,0,1,3,2,2,0,1,1,0,0,1,0
tc_672,Brandon Lee died during the making of which movie?,1,trivia,50,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,3,1,1,0,0,0,1,0,0
tc_678,Who had a 70s No 1 hit with Let's Do It Again?,1,trivia,46,3,1,0,0,0,1,0,0,0,0,0,0,14,1,3,1,5,1,0,0,1,0,0,1,0
tc_687,Who had a Too Legit To Quit Tour?,1,trivia,33,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,4,3,0,0,0,0,0,0,0,0
tc_690,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,trivia,94,0,1,0,0,0,0,0,0,0,0,0,1,23,1,3,2,3,3,1,0,1,1,1,1,1
tc_691,Who is the most successful UK solo artist in the USA?,1,trivia,53,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,2,3,2,0,2,0,0,0,0,0
tc_704,Which country does the airline TAAG come from?,1,trivia,46,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,1,3,0,0,0,0,0,0,0,0
tc_715,Which US No 1 single came from Diana Ross's platinum album Diana?,1,trivia,65,1,1,0,0,0,0,0,0,1,0,0,0,14,1,1,4,2,3,2,1,0,0,1,0,0
tc_719,River Phoenix died during the making of which movie?,1,trivia,52,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,3,1,0,1,0,0,0,0,0
tc_723,Which artist David was born in Bradford UK?,1,trivia,43,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,3,3,3,1,2,0,0,1,0,0
tc_725,What is Mel Gibson's middle name?,1,trivia,33,0,1,0,0,1,0,0,0,0,1,0,0,8,0,0,2,2,1,1,0,0,0,1,0,0
tc_731,Richard Daley was mayor of which city for 21 years?,1,trivia,51,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,4,2,1,0,1,0,1,1,0
