question_id,fixed_correct,semantic_correct,fixed_num_chunks,semantic_num_chunks
sfq_24637,1,1,8,21
qb_7717,1,1,12,22
tc_2182,1,1,66,188
odql_10206,1,1,11,60
bb_4718,1,1,71,217
wh_4134,0,0,21,45
wh_1868,0,0,21,130
dpql_680,1,1,11,29
odql_9366,1,1,8,13
qb_6257,0,1,17,54
odql_1280,1,0,15,18
odql_9698,1,1,7,23
sfq_12882,1,0,16,42
qb_3987,1,1,16,43
sfq_19142,0,1,14,33
jp_3155,1,0,36,73
qz_256,1,1,10,29
tc_2481,1,1,31,74
qb_5150,0,1,50,56
wh_1340,1,1,13,31
wh_2543,1,1,16,29
sfq_8028,1,1,152,33
sfq_20142,0,0,16,23
tc_2222,0,0,107,358
sfq_15036,0,0,111,70
dpql_5620,1,1,12,44
odql_6867,0,0,15,26
tb_366,1,1,166,397
odql_4782,0,0,122,323
qg_2556,0,0,54,147
jp_2655,1,1,7,20
wh_1581,0,0,16,51
sfq_1784,1,1,20,63
sfq_19123,0,0,15,43
bb_4887,0,0,363,939
bt_4210,0,0,27,52
tc_725,0,0,21,56
odql_12549,0,0,109,271
bt_3973,0,0,594,1634
dpql_2551,1,1,12,30
odql_4233,0,0,25,44
qg_1739,0,0,22,76
qw_4407,0,0,142,378
qf_3155,1,1,15,25
dpql_2282,1,1,17,69
wh_868,1,1,13,29
odql_13172,0,0,15,43
qw_4143,1,1,8,25
qg_3005,0,1,44,86
qb_4977,0,0,217,1082
qw_12027,0,0,139,347
qb_5655,1,1,21,53
qw_7412,0,0,15,40
qw_5050,1,1,55,128
sfq_20452,0,0,14,38
bb_3376,0,0,154,395
bt_4088,1,1,9,18
qz_2567,0,0,971,2046
odql_8669,0,0,25,79
sfq_3130,1,1,11,25
sfq_11176,1,1,7,19
qb_9395,0,1,10,29
qw_11303,0,0,56,181
qb_2101,0,0,18,57
sfq_13847,1,1,11,23
bb_6535,0,0,8,17
sfq_23299,1,1,42,140
sfq_22246,1,1,11,32
qw_7648,1,1,53,132
sfq_17302,1,1,10,35
dpql_5351,0,0,52,141
odql_5209,0,0,165,611
qb_497,1,1,9,23
qz_2787,0,1,13,6
tb_1916,1,1,59,106
wh_2249,1,1,10,21
odql_14817,1,1,12,48
bb_6268,0,1,20,53
qb_2202,1,1,42,78
qg_1409,0,0,332,652
qb_6250,0,0,11,25
qf_1375,0,0,8,24
qf_1928,0,0,48,166
sfq_2714,1,1,13,22
sfq_24154,1,1,41,127
qw_7963,1,1,23,64
dpql_3113,0,0,37,105
qw_9336,0,1,48,111
qw_7287,0,0,338,1055
wh_366,1,1,50,99
odql_389,0,0,16,36
bb_3530,0,0,38,84
qf_3654,0,0,10,23
odql_2323,1,1,14,34
sfq_26155,1,1,10,33
qb_853,1,1,13,36
