id,question,useRAG,dataset,char_count,digit_char_count,has_quote,starts_with_why,starts_with_how,starts_with_what,starts_with_who,starts_with_when,starts_with_where,starts_with_which,is_definition,is_yesno,is_comparison,word_count,number_token_count,verb_count,propn_count,noun_chunk_count,entity_count,person_count,org_gpe_loc_count,date_time_count,cardinal_count,has_person_entity,has_date_entity,has_number_entity
dev_186,what is the first book of percy jackson,0,nq,39,0,0,0,0,1,0,0,0,0,1,0,0,8,1,0,2,3,2,1,0,0,1,1,0,1
bb_6022,What is a third divided by a half?,0,trivia,34,0,0,0,0,1,0,0,0,0,1,0,0,9,1,1,0,2,2,0,0,0,2,0,0,1
dev_179,where do they put the tomb vampires in order to burn them during founders day,0,nq,77,0,0,0,0,0,0,0,1,0,0,0,0,15,0,2,0,5,0,0,0,0,0,0,0,0
sfq_25914,With atomic number 50 which element in the periodic table has the shortest name?,0,trivia,80,2,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,4,1,0,0,0,1,0,0,1
odql_723,What sort of plant is 'Bladderwrack'?,0,trivia,37,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,1,3,0,0,0,0,0,0,0,0
qb_6189,"On a standard dartboard, what number lies opposite 18?",0,trivia,54,2,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,2,1,0,0,0,1,0,0,1
qg_2596,"Who's missing: George Costanza, Elaine Bennes, Cosmo Kramer",0,trivia,59,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,6,4,3,3,0,0,0,1,0,0
qf_995,What is the Human body's hardest bone?,0,trivia,38,0,1,0,0,1,0,0,0,0,1,0,0,9,0,0,0,2,1,0,1,0,0,0,0,0
5a7b1c6b55429931da12c9ca,"Johnny Edwards and Ian Anderson are singers, who had joined the greater number of bands?",0,hotpot,88,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,4,6,2,2,0,0,0,1,0,0
dev_466,what are the power of supreme court in the philippines,0,nq,54,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,2,4,1,0,1,0,0,0,0,0
qw_16115,"Italian Dr Mattheo Thun, whose work can involve bottles and cutlery among other things is best described as what?",0,trivia,113,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,4,6,2,0,2,0,0,0,0,0
qz_2428,What are the shape-shifting foxes of the Japanese folklore?,0,trivia,59,0,0,0,0,1,0,0,0,0,1,0,0,12,0,1,0,3,1,0,1,0,0,0,0,0
wh_3326,Which geological period came between the Triassic and Cretaceous periods?,0,trivia,73,0,0,0,0,0,0,0,0,1,0,0,1,11,0,1,1,2,1,0,0,0,0,0,0,0
dev_2781,what information is displayed in clear text from the ftp header,0,nq,63,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,1,3,1,0,1,0,0,0,0,0
odql_9667,Who in the Muslim faith proclaims the hours of prayer from a minaret?,0,trivia,69,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,0,5,2,0,1,1,0,0,1,0
