question_id,fixed_hit,semantic_hit,fixed_num_chunks,semantic_num_chunks
sfq_24637,True,True,8,26
qb_7717,True,True,12,23
tc_2182,True,True,66,209
odql_10206,False,True,11,60
bb_4718,True,True,71,253
wh_4134,True,True,21,60
wh_1868,False,False,21,133
dpql_680,True,True,11,31
odql_9366,True,True,8,15
qb_6257,False,True,17,56
odql_1280,False,False,15,21
odql_9698,True,True,7,23
sfq_12882,True,True,16,42
qb_3987,True,True,16,43
sfq_19142,False,True,14,35
jp_3155,True,False,36,75
qz_256,False,True,10,30
tc_2481,True,True,31,81
qb_5150,True,True,50,74
wh_1340,True,True,13,33
wh_2543,True,True,16,32
sfq_8028,True,True,152,33
sfq_20142,False,False,16,23
tc_2222,False,False,107,393
sfq_15036,False,False,111,79
dpql_5620,True,True,12,44
odql_6867,False,False,15,29
tb_366,True,True,166,426
odql_4782,False,False,122,337
qg_2556,False,False,54,160
jp_2655,True,True,7,23
wh_1581,False,False,16,52
sfq_1784,True,True,20,63
sfq_19123,False,False,15,46
bb_4887,False,False,363,1042
bt_4210,True,False,27,57
tc_725,False,False,21,57
odql_12549,False,False,109,293
bt_3973,False,True,594,1765
dpql_2551,True,True,12,31
odql_4233,False,True,25,46
qg_1739,True,False,22,76
qw_4407,False,False,142,396
qf_3155,True,True,15,26
dpql_2282,True,True,17,70
wh_868,True,True,13,33
odql_13172,False,False,15,46
qw_4143,True,True,8,25
qg_3005,False,True,44,92
qb_4977,False,False,217,1121
qw_12027,False,False,139,371
qb_5655,True,True,21,55
qw_7412,True,True,15,42
qw_5050,True,True,55,131
sfq_20452,True,True,14,39
bb_3376,False,False,154,435
bt_4088,True,True,9,20
qz_2567,False,False,971,2089
odql_8669,False,False,25,79
sfq_3130,True,True,11,25
sfq_11176,True,True,7,21
qb_9395,True,True,10,31
qw_11303,False,False,56,187
qb_2101,False,False,18,58
sfq_13847,True,True,11,24
bb_6535,False,False,8,18
sfq_23299,True,True,42,140
sfq_22246,True,True,11,34
qw_7648,True,True,53,136
sfq_17302,True,True,10,36
dpql_5351,False,False,52,142
odql_5209,False,False,165,630
qb_497,True,True,9,24
qz_2787,True,True,13,8
tb_1916,False,False,59,130
wh_2249,True,True,10,21
odql_14817,True,True,12,49
bb_6268,False,True,20,53
qb_2202,True,True,42,80
qg_1409,False,False,332,712
qb_6250,False,False,11,25
qf_1375,False,False,8,25
qf_1928,True,True,48,183
sfq_2714,False,False,13,22
sfq_24154,False,True,41,129
qw_7963,True,True,23,66
dpql_3113,False,False,37,110
qw_9336,False,True,48,112
qw_7287,False,True,338,1068
wh_366,True,True,50,101
odql_389,False,False,16,40
bb_3530,False,False,38,88
qf_3654,False,False,10,29
odql_2323,True,True,14,35
sfq_26155,True,True,10,33
qb_853,True,True,13,37
sfq_20830,True,True,27,75
bt_1114,True,True,20,48
dpql_3726,True,True,13,46
sfq_11095,False,True,17,48
odql_8644,True,True,8,29
qg_3859,True,True,17,53
dpql_3151,True,True,10,27
sfq_3507,True,True,18,62
qw_11460,True,True,248,687
bb_3969,False,False,13,52
sfq_24697,True,True,12,14
odql_2789,False,False,39,108
sfq_14197,True,True,7,16
wh_1354,True,True,22,60
odql_2425,True,True,19,43
qw_1114,True,True,32,79
qz_4208,False,True,19,55
wh_2257,True,False,51,64
qg_1729,False,False,129,327
bb_9139,False,True,30,96
qw_16505,False,False,110,276
bb_3706,False,True,21,75
qb_388,False,True,54,146
wh_613,True,True,59,208
sfq_15658,True,True,11,37
odql_7598,True,True,63,210
bb_9114,True,True,7,18
wh_684,False,False,727,1774
tb_695,False,True,13,58
sfq_7683,False,False,349,1133
qw_14885,False,True,13,63
sfq_25624,True,True,13,25
sfq_3103,False,True,34,144
dpql_1059,False,True,77,313
bb_3384,True,True,44,86
qg_3192,True,True,11,33
wh_4325,False,False,18,52
qg_670,False,False,26,77
sfq_11477,True,True,23,91
bb_3197,False,False,209,560
sfq_17806,True,False,46,77
jp_3898,False,False,19,65
sfq_17779,True,False,19,51
qw_15697,True,True,24,51
bt_2875,False,False,227,663
odql_12841,False,False,122,354
dpql_590,False,False,50,123
sfq_8755,False,True,16,56
sfq_7286,False,True,57,183
qb_4780,True,True,8,17
qz_2968,True,True,41,158
qb_7289,True,False,325,823
dpql_2134,True,True,38,130
sfq_23082,True,True,152,471
qf_2374,False,False,86,221
odql_1772,False,True,23,67
qf_2226,False,True,9,38
sfq_19522,False,False,103,316
qz_6793,True,True,8,16
qw_12688,False,False,35,99
qw_12049,True,True,24,63
odql_11051,True,True,131,324
sfq_4286,True,True,17,42
sfq_10443,True,True,7,31
bb_954,True,True,23,73
sfq_13877,True,True,15,31
tc_1484,False,False,82,322
odql_7910,False,False,128,348
qb_8213,False,False,7,19
odql_2187,True,True,14,36
qf_3056,False,False,16,63
bt_779,False,False,101,902
sfq_24850,True,True,18,48
qf_1958,True,False,201,352
qg_4367,True,True,965,1525
bt_3186,False,True,15,40
sfq_80,True,True,22,77
dpql_2372,False,True,8,19
bt_1131,True,True,14,34
tc_245,False,False,39,108
odql_9352,True,True,8,19
sfq_7709,True,True,28,84
dpql_4551,True,True,7,17
sfq_8344,False,True,15,56
qb_6781,True,True,24,68
sfq_22709,True,True,10,30
bb_7263,True,True,8,19
qg_4575,False,False,58,238
odql_3929,True,True,12,35
odql_15032,False,False,315,709
qg_564,True,True,47,182
odql_8118,True,True,32,66
qw_10529,False,True,91,229
dpql_2821,True,True,14,39
sfq_11740,False,False,9,23
sfq_10796,False,True,8,34
tc_79,False,True,13,34
sfq_19855,False,False,40,111
qw_777,True,True,14,47
sfq_6944,False,False,12,24
tc_1921,True,True,10,20
bt_528,False,True,27,66
qw_7653,False,True,88,203
bb_8453,False,False,7,18
wh_3333,True,True,13,41
qz_4435,True,True,16,37
wh_3391,False,False,8,22
odql_11414,False,False,68,201
qf_2386,False,False,19,57
qb_3703,True,True,109,301
sfq_6599,True,True,18,42
qb_483,True,True,34,114
sfq_10968,True,True,10,7
qb_9727,False,False,17,47
qb_10151,True,True,19,45
tb_1041,True,True,153,382
sfq_4924,True,True,37,175
sfq_13222,False,False,19,58
dpql_3418,False,False,111,267
qg_2657,True,True,12,43
sfq_10360,False,True,9,24
sfq_20727,False,False,38,119
jp_3393,True,True,80,240
odql_11428,True,True,13,40
odql_5312,True,True,18,67
dpql_5807,False,False,8,32
bb_8661,True,True,305,671
odql_8823,True,True,7,13
odql_2344,True,True,208,45
sfq_483,False,False,17,29
sfq_9707,True,True,16,41
sfq_2362,False,True,7,26
qb_8992,False,True,22,63
wh_4346,True,True,698,1608
wh_2040,False,False,65,178
odql_7310,False,False,9,37
qw_4266,False,False,23,74
tc_1973,False,False,13,37
sfq_19116,False,False,28,77
sfq_14149,True,True,56,212
wh_2270,False,True,105,333
odql_3066,False,True,21,46
qf_3342,True,False,44,125
tc_841,True,True,9,32
qb_602,True,True,55,198
sfq_23841,False,False,116,203
qz_4925,True,True,7,24
odql_12518,False,False,890,1964
qb_470,True,True,12,32
odql_12487,True,True,18,49
qw_3080,True,True,12,39
sfq_24035,False,False,12,27
sfq_9310,False,False,235,643
wh_2977,True,False,57,159
bb_5291,False,True,380,905
tb_2225,False,False,164,536
wh_860,True,True,9,22
tb_543,False,False,1227,3445
dpql_127,True,True,20,47
sfq_16656,True,True,8,25
sfq_17255,True,True,8,15
sfq_4870,True,True,23,71
wh_3823,True,True,7,21
sfq_22127,False,False,76,197
jp_311,True,True,26,129
dpql_5159,True,True,72,216
qb_5298,True,True,37,41
qf_1271,True,True,13,32
jp_4314,True,True,10,35
qw_7129,True,True,12,25
tb_647,True,True,8,25
jp_683,True,True,15,64
sfq_4128,True,True,16,42
qz_4085,True,True,7,28
qb_5984,False,False,128,351
qz_5346,True,True,15,43
jp_159,False,False,10,39
qw_4300,False,False,52,101
qb_7186,False,False,19,56
bb_198,False,True,55,253
bt_2774,True,True,8,18
sfq_21478,True,True,127,87
odql_5215,True,True,53,169
qf_3274,True,True,18,49
dpql_753,True,True,17,62
odql_7794,False,True,139,291
dpql_4709,False,True,8,17
sfq_22602,False,True,10,44
odql_13669,False,False,17,51
bb_327,True,True,8,15
qb_1683,True,True,14,26
sfq_1112,False,False,57,175
sfq_13223,False,True,11,24
qf_535,True,True,9,2
qz_3433,True,True,18,70
sfq_12076,True,True,29,76
tc_1686,True,True,9,26
qg_1421,False,True,11,34
wh_2940,False,True,1225,3025
dpql_3496,True,True,49,110
sfq_21697,False,False,19,72
sfq_22585,True,True,17,55
sfq_5760,True,True,10,27
wh_724,False,False,10,27
odql_12351,True,True,45,169
sfq_24009,False,False,206,510
dpql_3194,True,True,68,246
odql_13538,False,False,691,2672
tc_165,False,False,11,40
qw_13962,False,False,44,104
tb_957,True,True,469,1120
sfq_2751,False,False,87,266
bb_5704,True,True,33,91
sfq_20803,False,False,19,45
sfq_14182,False,False,52,200
sfq_6730,True,True,28,47
dpql_2259,True,True,14,50
sfq_19662,True,True,22,135
bb_7054,False,False,120,409
wh_1312,False,False,1074,2801
odql_583,True,True,9,22
sfq_12404,False,False,127,87
sfq_20394,True,False,9,17
bb_8778,True,True,31,74
qz_4241,True,False,11,17
odql_9314,True,True,38,106
sfq_5249,False,False,105,320
sfq_7809,False,False,91,252
odql_1853,True,True,9,44
odql_4307,False,True,52,167
sfq_14172,True,True,32,92
sfq_8496,False,False,11,32
qb_2364,False,True,27,72
dpql_4841,False,False,213,573
tb_2218,True,True,11,45
sfq_23505,True,True,21,62
wh_2609,True,True,67,180
jp_232,True,True,16,48
qb_8840,True,True,40,158
odql_9500,False,False,30,90
qz_1800,True,True,45,120
qb_2476,True,True,10,18
qf_3390,False,False,353,936
sfq_9942,False,False,7,20
odql_12366,True,True,18,66
bb_3038,False,True,413,1472
dpql_6238,True,True,19,57
sfq_15254,True,False,57,111
wh_3053,True,True,12,47
sfq_16593,True,True,43,123
odql_10852,False,True,182,525
dpql_125,False,False,69,211
bb_7396,False,False,15,62
sfq_2864,False,False,14,47
sfq_11145,True,True,9,6
qb_1455,True,True,9,23
tc_1365,False,False,30,82
odql_10682,True,True,16,9
qb_6048,False,True,24,61
qb_1515,True,False,25,195
sfq_17107,False,True,25,82
sfq_8341,False,False,95,306
sfq_13260,True,True,67,176
sfq_22347,False,False,19,59
qw_6353,True,False,61,195
qf_3399,False,False,11,28
odql_14415,True,True,54,136
qw_9028,False,False,30,62
bb_5694,True,True,52,162
sfq_18683,False,True,10,16
bt_303,True,True,80,119
bb_7425,False,True,46,120
tc_935,False,True,16,50
bb_7375,False,False,15,62
qb_6395,False,False,7,31
dpql_424,True,True,8,11
qf_331,True,True,15,28
qb_8289,False,False,76,194
qb_6862,True,True,27,98
qf_1870,False,False,7,15
bb_4162,False,False,1006,2270
bb_5497,True,True,17,37
odql_8576,False,False,33,95
qb_6769,False,True,20,123
qf_704,False,True,9,19
odql_14683,True,True,30,101
qf_1622,True,True,23,61
qw_4882,False,False,755,1653
bb_9301,False,False,49,116
jp_3560,True,True,12,37
sfq_26140,False,False,7,27
bb_1115,True,True,20,39
odql_3292,False,True,10,21
tb_1972,False,False,258,746
sfq_2550,False,False,129,401
qf_2232,True,True,25,92
sfq_15313,True,True,16,40
tc_2218,False,True,23,78
qz_2841,False,True,13,55
sfq_7281,True,True,313,1447
tb_550,True,True,17,42
jp_1408,True,False,14,58
odql_14474,False,False,1250,3144
tc_2031,True,True,53,140
tc_149,False,False,51,173
sfq_17511,True,True,135,382
qg_327,False,False,12,25
qb_345,True,False,13,47
qw_145,True,True,20,57
odql_6232,False,False,57,207
sfq_13108,True,True,244,573
bt_1043,True,True,11,32
wh_1610,True,True,69,250
bb_4796,False,True,44,124
qw_7092,False,True,8,31
sfq_9841,False,False,122,304
bb_5384,False,False,463,1086
tc_518,True,False,11,22
odql_12535,False,False,974,2448
qz_1430,True,True,7,18
sfq_699,False,True,17,48
qw_5192,False,False,44,145
sfq_25948,True,True,8,23
qb_1541,False,False,11,37
bb_4287,False,False,2490,446
tc_1865,True,True,26,74
jp_2221,True,True,34,106
dpql_4816,False,False,72,227
bb_6297,False,False,31,145
odql_6732,True,True,14,7
sfq_9896,False,False,6,27
qf_1783,True,True,8,23
sfq_25185,True,True,41,114
odql_13430,True,True,8,16
dpql_2213,True,True,19,51
dpql_4664,False,False,244,822
qw_15362,True,True,46,158
jp_4308,True,True,19,56
tc_1938,True,True,10,24
dpql_4569,True,True,7,15
sfq_7459,True,True,225,562
qw_4504,False,False,9,41
bt_4154,False,False,20,58
qw_3671,True,True,187,518
qz_3557,False,False,12,32
dpql_4451,False,False,106,322
sfq_16634,False,False,10,35
bb_5329,True,True,622,1523
dpql_6224,False,True,25,41
bb_8564,True,True,136,316
qw_10892,False,True,11,27
qb_2019,True,True,7,16
qb_8586,False,False,17,36
qg_3190,True,True,12,32
qw_16469,False,False,514,1400
jp_304,True,False,19,53
qb_4152,True,True,38,107
dpql_6323,False,True,36,116
tc_1485,True,True,22,78
qb_4229,True,True,10,17
qw_8999,True,True,8,23
sfq_5126,True,True,13,32
qw_14100,False,True,23,53
dpql_6290,True,True,147,383
sfq_17048,True,True,12,28
qw_3718,False,False,625,1623
qw_8570,True,True,117,259
jp_3802,True,True,10,28
sfq_610,False,False,661,1754
dpql_210,False,True,60,237
bt_1484,True,True,19,45
qw_14739,False,False,701,1805
qw_6825,False,False,16,56
sfq_20563,False,False,59,150
dpql_5164,True,True,7,6
qg_2784,True,True,132,363
sfq_12465,True,False,16,53
qb_7330,False,False,14,39
sfq_9927,False,False,12,45
sfq_24341,True,True,11,28
dpql_4097,False,False,15,47
odql_12768,True,True,21,61
sfq_1300,True,True,18,62
qb_8101,False,True,15,36
odql_1127,False,False,589,176
jp_3431,True,True,16,52
qw_2759,False,False,87,331
qb_5371,True,True,21,55
dpql_5802,True,True,20,52
sfq_16951,False,False,10,27
odql_9657,True,True,25,51
qz_941,True,True,15,28
qw_13073,False,False,360,749
qw_14240,False,True,38,100
qg_953,True,True,7,20
qw_337,False,False,52,87
bb_1967,True,True,822,1704
qw_14764,False,False,351,847
sfq_20082,True,True,12,31
odql_12052,True,True,38,42
tb_1001,False,True,47,135
tc_1620,False,False,24,74
sfq_14502,True,True,11,18
qb_10180,True,True,129,358
